urdu,roman
مجھے معلوم ہے میں ساری دنیا کی امانت ہوں مگر وہ لمحہ جب میں صرف اپنا ہو سا جاتا ہوں میں تم سے دور رہتا ہوں تو میرے ساتھ رہتی ہو تمہارے پاس اتا ہوں تو تنہا ہو سا جاتا ہوں میں چاہے سچ ہی بولوں ہر طرح سے اپنے بارے میں مگر تم مسکراتی ہو تو جھوٹا ہو سا جاتا ہوں ترے گل رنگ ہونٹوں سے دہکتی زندگی پی کر میں پیاسا اور پیاسا اور پیاسا ہو سا جاتا ہوں تجھے بانہوں میں بھر لینے کی خواہش یوں ابھرتی ہے کہ میں اپنی نظر میں اپ رسوا ہو سا جاتا ہوں,mujhe ma.al m hai mai saar duniy k am nat huu magar vo lamha jab mai sirf apn ho s jaat huu mai tum se duur raht huu to mere saath raht ho tumh re paas aat huu to tanh ho s jaat huu mai ch he sach h bol har tarah se apne baare me magar tum muskur t ho to jh t ho s jaat huu tire gul ra g ho to se dahakt zindag p kar mai py s aur py s aur py s ho s jaat huu tujhe b ho me bhar lene k hv hish yuu ubhart hai ki mai apn nazar me aap rusv ho s jaat huu
حوصلہ کھو نہ دیا تیری نہیں سے ہم نے کتنی شکنوں کو چنا تیری جبیں سے ہم نے وہ بھی کیا دن تھے کہ دیوانہ بنے پھرتے تھے سن لیا تھا ترے بارے میں کہیں سے ہم نے جس جگہ پہلے پہل نام ترا اتا ہے داستاں اپنی سنائی ہے وہیں سے ہم نے یوں تو احسان حسینوں کے اٹھائے ہیں بہت پیار لیکن جو کیا ہے تو تمہیں سے ہم نے کچھ سمجھ کر ہی خدا تجھ کو کہا ہے ورنہ کون سی بات کہی اتنے یقیں سے ہم نے,hausla kho na diy ter nah se ham ne kitn shikno ko chun ter jab se ham ne vo bh ky din the ki d v na bane phirte the sun liy th tire baare me kah se ham ne jis jagah pahle pahal naam tir aat hai d st apn sun . hai vah se ham ne yuu to ehs n has no ke uth .e hai bahut pyaar lekin jo kiy hai to tumh se ham ne kuchh samajh kar h hud tujh ko kah hai varna kaun s baat kah itne yaq se ham ne
اے درد عشق تجھ سے مکرنے لگا ہوں میں مجھ کو سنبھال حد سے گزرنے لگا ہوں میں پہلے حقیقتوں ہی سے مطلب تھا اور اب ایک ادھ بات فرض بھی کرنے لگا ہوں میں ہر ان ٹوٹتے یہ عقیدوں کے سلسلے لگتا ہے جیسے اج بکھرنے لگا ہوں میں اے چشم یار میرا سدھرنا محال تھا تیرا کمال ہے کہ سدھرنے لگا ہوں میں یہ مہر و ماہ ارض و سما مجھ میں کھو گئے اک کائنات بن کے ابھرنے لگا ہوں میں اتنوں کا پیار مجھ سے سنبھالا نہ جائے گا لوگو تمہارے پیار سے ڈرنے لگا ہوں میں دلی کہاں گئیں ترے کوچوں کی رونقیں گلیوں سے سر جھکا کے گزرنے لگا ہوں میں,ai dard e ishq tujh se mukarne lag huu mai mujh ko sambh l had se guzarne lag huu mai pahle haq qato h se matlab th aur ab ek aadh baat farz bh karne lag huu mai har aan t tte ye aq do ke silsile lagt hai jaise aaj bikharne lag huu mai ai chashm e y r mer sudharn muh l th ter kam l hai ki sudharne lag huu mai ye mehr o m h arz o sam mujh me kho ga.e ik k .en t ban ke ubharne lag huu mai itno k pyaar mujh se sambh l na j .eg logo tumh re pyaar se darne lag huu mai dill kah ga.ii tire k cho k raunaqe galiyo se sar jhuk ke guzarne lag huu mai
اج مدت میں وہ یاد ائے ہیں در و دیوار پہ کچھ سائے ہیں ابگینوں سے نہ ٹکرا پائے کوہساروں سے تو ٹکرائے ہیں زندگی تیرے حوادث ہم کو کچھ نہ کچھ راہ پہ لے ائے ہیں سنگ ریزوں سے خزف پاروں سے کتنے ہیرے کبھی چن لائے ہیں اتنے مایوس تو حالات نہیں لوگ کس واسطے گھبرائے ہیں ان کی جانب نہ کسی نے دیکھا جو ہمیں دیکھ کے شرمائے ہیں,aaj muddat me vo yaad aa.e hai dar o d v r pe kuchh saa.e hai bg no se na takr paa.e kohs ro se to takr .e hai zindag tere hav dis ham ko kuchh na kuchh raah pe le aa.e hai sa g rezo se hazaf p ro se kitne hiire kabh chun laa.e hai itne m y s to h l t nah log kis v ste ghabr .e hai un k j nib na kis ne dekh jo hame dekh ke sharm .e hai
زندگی یہ تو نہیں تجھ کو سنوارا ہی نہ ہو کچھ نہ کچھ ہم نے ترا قرض اتارا ہی نہ ہو دل کو چھو جاتی ہے یوں رات کی اواز کبھی چونک اٹھتا ہوں کہیں تو نے پکارا ہی نہ ہو کبھی پلکوں پہ چمکتی ہے جو اشکوں کی لکیر سوچتا ہوں ترے انچل کا کنارا ہی نہ ہو زندگی ایک خلش دے کے نہ رہ جا مجھ کو درد وہ دے جو کسی طرح گوارا ہی نہ ہو شرم اتی ہے کہ اس شہر میں ہم ہیں کہ جہاں نہ ملے بھیک تو لاکھوں کا گزارا ہی نہ ہو,zindag ye to nah tujh ko sa v r h na ho kuchh na kuchh ham ne tir qarz ut r h na ho dil ko chh jaat hai yuu raat k v z kabh chau k utht huu kah t ne puk r h na ho kabh palko pe chamakt hai jo ashko k lak r socht huu tire chal k kin r h na ho zindag ek halish de ke na rah j mujh ko dard vo de jo kis tarah gav r h na ho sharm aat hai ki us shahr me ham hai ki jah na mile bhiik to l kho k guz r h na ho
تمام عمر عذابوں کا سلسلہ تو رہا یہ کم نہیں ہمیں جینے کا حوصلہ تو رہا گزر ہی ائے کسی طرح تیرے دیوانے قدم قدم پہ کوئی سخت مرحلہ تو رہا چلو نہ عشق ہی جیتا نہ عقل ہار سکی تمام وقت مزے کا مقابلہ تو رہا میں تیری ذات میں گم ہو سکا نہ تو مجھ میں بہت قریب تھے ہم پھر بھی فاصلہ تو رہا یہ اور بات کہ ہر چھیڑ لاابالی تھی تری نظر کا دلوں سے معاملہ تو رہا,tam m umr az bo k silsila to rah ye kam nah hame jiine k hausla to rah guzar h aa.e kis tarah tere d v ne qadam qadam pe ko sa ht marhala to rah chalo na ishq h jiit na aql haar sak tam m vaqt maze k muq bla to rah mai ter zaat me gum ho sak na t mujh me bahut qar b the ham phir bh f sla to rah ye aur baat ki har chhe l ub l th tir nazar k dilo se mo. mla to rah
میکشی اب مری عادت کے سوا کچھ بھی نہیں یہ بھی اک تلخ حقیقت کے سوا کچھ بھی نہیں فتنۂ عقل کے جویا مری دنیا سے گزر میری دنیا میں محبت کے سوا کچھ بھی نہیں دل میں وہ شورش جذبات کہاں تیرے بغیر ایک خاموش قیامت کے سوا کچھ بھی نہیں مجھ کو خود اپنی جوانی کی قسم ہے کہ یہ عشق اک جوانی کی شرارت کے سوا کچھ بھی نہیں,mai kash ab mir aadat ke siv kuchh bh nah ye bh ik tal h haq qat ke siv kuchh bh nah fitna e aql ke juuy mir duniy se guzar mer duniy me mohabbat ke siv kuchh bh nah dil me vo shorish e jazb t kah tere ba hair ek h mosh qay mat ke siv kuchh bh nah mujh ko hud apn jav n k qasam hai ki ye ishq ik jav n k shar rat ke siv kuchh bh nah
اچھا ہے ان سے کوئی تقاضا کیا نہ جائے اپنی نظر میں اپ کو رسوا کیا نہ جائے ہم ہیں ترا خیال ہے تیرا جمال ہے اک پل بھی اپنے اپ کو تنہا کیا نہ جائے اٹھنے کو اٹھ تو جائیں تری انجمن سے ہم پر تیری انجمن کو بھی سونا کیا نہ جائے ان کی روش جدا ہے ہماری روش جدا ہم سے تو بات بات پہ جھگڑا کیا نہ جائے ہر چند اعتبار میں دھوکے بھی ہیں مگر یہ تو نہیں کسی پہ بھروسا کیا نہ جائے لہجہ بنا کے بات کریں ان کے سامنے ہم سے تو اس طرح کا تماشا کیا نہ جائے انعام ہو خطاب ہو ویسے ملے کہاں جب تک سفارشوں کو اکٹھا کیا نہ جائے اس وقت ہم سے پوچھ نہ غم روزگار کے ہم سے ہر ایک گھونٹ کو کڑوا کیا نہ جائے,achchh hai un se ko taq z kiy na jaa.e apn nazar me aap ko rusv kiy na jaa.e ham hai tir hay l hai ter jam l hai ik pal bh apne aap ko tanh kiy na jaa.e uthne ko uth to jaa.e tir anjuman se ham par ter anjuman ko bh suun kiy na jaa.e un k ravish jud hai ham r ravish jud ham se to baat baat pe jhag kiy na jaa.e har chand e'tib r me dhoke bh hai magar ye to nah kis pe bharos kiy na jaa.e lahja ban ke baat kare un ke s mne ham se to is tarah k tam sh kiy na jaa.e in.aam ho hit b ho vaise mile kah jab tak sif risho ko ikatth kiy na jaa.e is vaqt ham se p chh na ham rozg r ke ham se har ek gh t ko ka v kiy na jaa.e
ہر ایک شخص پریشان و در بدر سا لگے یہ شہر مجھ کو تو یارو کوئی بھنور سا لگے اب اس کے طرز تجاہل کو کیا کہے کوئی وہ بے خبر تو نہیں پھر بھی بے خبر سا لگے ہر ایک غم کو خوشی کی طرح برتنا ہے یہ دور وہ ہے کہ جینا بھی اک ہنر سا لگے نشاط صحبت رنداں بہت غنیمت ہے کہ لمحہ لمحہ پر اشوب و پر خطر سا لگے کسے خبر ہے کہ دنیا کا حشر کیا ہوگا کبھی کبھی تو مجھے ادمی سے ڈر سا لگے وہ تند وقت کی رو ہے کہ پاؤں ٹک نہ سکیں ہر ادمی کوئی اکھڑا ہوا شجر سا لگے جہان نو کے مکمل سنگار کی خاطر صدی صدی کا زمانہ بھی مختصر سا لگے,har ek sha hs paresh n o darba dar s lage ye shahr mujh ko to yaaro ko bha var s lage ab us ke tarz e taj hul ko ky kahe ko vo be habar to nah phir bh be habar s lage har ek ham ko hush k tarah baratn hai ye daur vo hai ki jiin bh ik hunar s lage nash t e sohbat e rind bahut han mat hai ki lamha lamha pur shob o pur hatar s lage kise habar hai ki duniy k hashr ky hog kabh kabh to mujhe aadm se dar s lage vo tund vaqt k rau hai ki paa v tik na sake har aadm ko ukh hu shajar s lage jah n e nau ke mukammal si g r k h tir sad sad k zam na bh mu htasar s lage
دیدہ و دل میں کوئی حسن بکھرتا ہی رہا لاکھ پردوں میں چھپا کوئی سنورتا ہی رہا روشنی کم نہ ہوئی وقت کے طوفانوں میں دل کے دریا میں کوئی چاند اترتا ہی رہا راستے بھر کوئی اہٹ تھی کہ اتی ہی رہی کوئی سایہ مرے بازو سے گزرتا ہی رہا مٹ گیا پر تری بانہوں نے سمیٹا نہ مجھے شہر در شہر میں گلیوں میں بکھرتا ہی رہا لمحہ لمحہ رہے انکھوں میں اندھیرے لیکن کوئی سورج مرے سینے میں ابھرتا ہی رہا,diida o dil me ko husn bikhart h rah laakh pardo me chhup ko sa vart h rah raushn kam na hu vaqt ke t f no me dil ke dariy me ko ch d utart h rah r ste bhar ko aahat th ki aat h rah ko saaya mire baaz se guzart h rah mit gay par tir b ho ne samet na mujhe shahr dar shahr mai galiyo me bikhart h rah lamha lamha rahe kho me andhere lekin ko s raj mire siine me ubhart h rah
سو چاند بھی چمکیں گے تو کیا بات بنے گی تم ائے تو اس رات کی اوقات بنے گی ان سے یہی کہہ ائیں کہ اب ہم نہ ملیں گے اخر کوئی تقریب ملاقات بنے گی اے ناوک غم دل میں ہے اک بوند لہو کی کچھ اور تو کیا ہم سے مدارات بنے گی یہ ہم سے نہ ہوگا کہ کسی ایک کو چاہیں اے عشق ہماری نہ ترے سات بنے گی یہ کیا ہے کہ بڑھتے چلو بڑھتے چلو اگے جب بیٹھ کے سوچیں گے تو کچھ بات بنے گی,sau ch d bh chamke ge to ky baat baneg tum aa.e to is raat k auq t baneg un se yah kah aa.e ki ab ham na mile ge hir ko taqr b e mul q t baneg ai n vak e ham dil me hai ik buu d lah k kuchh aur to ky ham se mud r t baneg ye ham se na hog ki kis ek ko ch he ai ishq ham r na tire saat baneg ye ky hai ki ba hte chalo ba hte chalo aage jab baith ke soche ge to kuchh baat baneg
جسم کی ہر بات ہے اوارگی یہ مت کہو ہم بھی کر سکتے ہیں ایسی شاعری یہ مت کہو اس نظر کی اس بدن کی گنگناہٹ تو سنو ایک سی ہوتی ہے ہر اک راگنی یہ مت کہو ہم سے دیوانوں کے بن دنیا سنورتی کس طرح عقل کے اگے ہے کیا دیوانگی یہ مت کہو کٹ سکی ہیں اج تک سونے کی زنجیریں کہاں ہم بھی اب ازاد ہیں یارو ابھی یہ مت کہو پاؤں اتنے تیز ہیں اٹھتے نظر اتے نہیں اج تھک کر رہ گیا ہے ادمی یہ مت کہو جتنے وعدے کل تھے اتنے اج بھی موجود ہیں ان کے وعدوں میں ہوئی ہے کچھ کمی یہ مت کہو دل میں اپنے درد کی چھٹکی ہوئی ہے چاندنی ہر طرف پھیلی ہوئی ہے تیرگی یہ مت کہو,jism k har baat hai v rg ye mat kaho ham bh kar sakte hai ais sh .er ye mat kaho us nazar k us badan k gungun hat to suno ek s hot hai har ik r gn ye mat kaho ham se d v no ke bin duniy sa vart kis tarah aql ke aage hai ky d v ng ye mat kaho kat sak hai aaj tak sone k zanj re kah ham bh ab z d hai yaaro abh ye mat kaho paa v itne tez hai uthte nazar aate nah aaj thak kar rah gay hai aadm ye mat kaho jitne va.ade kal the utne aaj bh mauj d hai un ke va.ado me hu hai kuchh kam ye mat kaho dil me apne dard k chhitk hu hai ch dn har taraf phail hu hai t rg ye mat kaho
